M01,M02,M03,M04,M05,M06,M07,M08,M09,M010,M011,M012,M013,M014,M015,M016,M017,M018,M019,M020,M021,M022,M023,M024,M025,M026,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M042,M043,M044,M045,M046,M047,M048,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M061,M062,M063,M064,M065,M066,M067,M068,M069,M070,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
gene  1,0,0,0,0,0,0,0,333.729326977727,0,0,0,0,0,0,0,0,0,264.281080036598,0,0,0,0,0,0,0,0,0,0,0,281.42156098428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.484771285837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene  2,0,0,0,0,0,0,229.982515570014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.396177066601,0,0,0,0,241.445483016068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.896936099827,0,0,0,0,0,0,0,0,265.724161762501,0,0,0,0,182.694642578873,0,0,0,0,198.13929335806,0,249.332495940303
gene  3,286.288682211242,0,0,383.810865097261,0,0,0,0,0,0,0,188.503031074248,0,0,0,0,0,0,0,162.445201571458,0,147.597149925969,0,277.282158149031,0,0,0,178.792326836104,0,0,0,0,0,0,0,0,0,0,284.225163657526,0,0,0,0,0,0,0,0,300.455389943734,0,0,0,0,466.487775254339,0,0,0,0,0,0,313.508684754421,277.085048909376,0,0,0,0,0,0,0,316.695770355906,0,0,0,406.679385404616,0,0,182.694642578873,0,0,243.60335597934,0,0,0,0
gene  4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578.544330347277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene  5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.551312096316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.174671720971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene  6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.282417000016,0,0,0,0,0,0,0,0,281.42156098428,0,0,0,0,0,0,0,0,0,0,0,0,237.143465676178,0,0,0,0,0,0,0,0,0,0,0,0,269.891516996954,0,0,0,0,0,0,0,0,0,0,410.114665632139,0,332.992620456447,0,0,0,0,0,0,0,0,0,199.26131680459,0,0,0,0
gene  7,0,0,0,0,0,0,0,0,0,0,0,146.722429446298,0,0,0,0,0,0,0,0,0,0,0,277.282158149031,238.176795919776,0,0,0,0,0,128.216808789051,0,0,0,0,0,0,0,196.261139846616,0,0,0,0,0,0,177.484771285837,0,0,0,0,0,0,0,0,0,0,0,180.200185903583,224.978831516386,0,277.085048909376,0,0,0,253.055616083811,0,220.219652384387,0,0,0,0,259.923683057579,0,0,0,0,0,0,0,424.092724655954,0,302.320295244679,0
gene  8,0,0,0,0,0,0,312.560321828853,0,0,0,0,290.799544438648,0,0,0,0,0,392.270382914809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373.064639590139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.468681569191,0,0,0,0
gene  9,253.137488832488,189.793207259923,360.43181136912,0,0,514.553119731651,0,0,0,0,508.035603304598,283.991519714587,293.18217545068,457.419842653842,339.387161478604,418.733447979044,309.890032813726,0,216.613248748589,206.711676960163,223.835220833551,221.609958698346,289.212226237683,417.762762129545,304.888107641679,321.735093430385,460.993045323626,229.978251497235,274.404401707639,312.966517608992,216.873626594274,407.164892631694,0,459.006367146639,389.592548540569,330.711278980325,350.21306041997,365.551312096316,0,224.30937847502,247.723341195641,0,237.143465676178,216.096901384542,0,0,200.159486730118,246.964392019273,0,231.735399839764,294.524733642151,450.792387505494,0,416.717915958976,0,220.829097576407,201.844752993538,226.261309805361,224.978831516386,462.200333273987,445.476701303919,349.797005940242,0,596.71109957036,202.789377098837,0,285.49296902178,331.861554147709,0,360.147269506877,265.724161762501,0,0,295.345083688609,120.218227301998,274.768788276462,326.292296770769,236.079823293688,156.468681569191,0,198.13929335806,0,0
gene 10,0,0,287.130979305059,0,0,0,229.982515570014,0,0,0,0,0,0,0,263.714182185751,0,144.636619570738,0,0,0,0,0,0,0,0,215.509359908345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.956674384658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
